text,label
help to retrieve my user pin,20
i want help filing a customer complaint,7
modifying information on pro account,14
where do i receive a refund of my money?,16
how to check the early exit penalties?,3
assistance to purchase a few of your product,19
help me seeing how long refunds take,6
deleting premium accoumt,11
what do i need to do to set up another shipping address?,23
there is an issue entering the secondary shipping address,23
restore the password of my user profile,20
nded to check the termination penalties how to do it,3
i need to see how long it takes for my parcel to arrive,13
how do i see what shipping methods i can choose?,12
locating order order number,25
i need assistance to create a account type account,10
notify of problem with signup,21
i need help to report a bloody error with payment,18
can you give me information about a pro account termination?,11
help me check how long it takes for the delivery to arrive,13
can you direct to me a human agent?,9
want help modifying my address,2
wanna enter a new shipping address,23
where to check what shipment options i have,12
how could i get in touch with customer support?,8
help informing of an error with online payments,18
where to see the bloody eta of the order order number,25
"i lost my profile pin, where do i restore it?",20
d uship to delivery city,12
how to swap a product of order order number ?,1
do ya have an e mail to contact customer support,8
could uhelp me seeing my invoices from person name,4
i have to cancel the newsletter subscription how to do it,17
can you show me when my item is going to arrive?,13
check under which circumstances can i ask for refunds,6
deleting account type account,11
i need assistance getting the invoices from person name,15
i have a problem entering the secindary shipping address,23
modify information on gold account,14
help me to lodge a consumer complaint,7
want help to check your damn money back guarantee,6
help me to check when my item is gonna arrive,13
there are problems trying to correct the address,2
check bills from person name,4
is there an e mail to send an opinion about your products?,22
i want help talking with an operator,9
i do not know how i could receive a reimbursement of money,16
where do i lodge a claim against your business?,7
i want help to cancel the corporate newsletter subscription,17
i do not know what i need to do to speak to a human agent,9
i would like to report fucking errors with payment,18
need to speak with somebody,9
correcting details on account type account,14
wanna check in what cases can i ask to be reimbursed,6
wanna check order order number status can uhelp me,25
need help to check the shipment methods,12
closing account type account,11
can ya help me receive rebates,16
canceling purchase order number,0
i need assistance to check how long the shgipment takes,13
i dont know how to send feedback for a service,22
assistance to check how soon can i exepct the purchase,13
i dont know what to do to submit feedback for a service,22
show me invoice 85632,4
i need information about standard account cancellations,11
i have an error entering another hsipping address,23
i need help writing a review about your products,22
i need help to solve problems with online payment,18
help to report signup problems,21
look for bills from person name,4
i need help contacting somebody,9
what do i need to do to ask for rebates?,16
i want help to delete my platinum account,11
i have got to locate order order number,25
i can't check the eta of the purchase order number,25
how soon can i expect my article?,13
i expect a refund of currency symbol refund amount,26
i'm waiting for a reimbursement of currency symbol refund amount,26
updating standard accojnt,14
i have a question about the removal of my account category account,11
i have to list ur accepted payment options how to do it,5
i dont know what i have to do to order a few of ur article,19
purchase order number ststus,25
how to check my restitution status?,26
i hav to change to the premium account help me,24
will you show me the early exit charges?,3
have a question about canceling order order number,0
i try to make a reclamation against your organization,7
modify information on account type acfount,14
what do i need to do to hceck the termination charge,3
want help to cancel purchase order number,0
i need help notifying of issues with online payment,18
i try to see the available payment options,5
i need assistance changing to the account type account,24
can you help me inform of an problem with sign up?,21
aswistance buying a few of ur product,19
update order order number,1
could you help me requesting a goddamn rebate of my money?,16
i need help to unsubscribe from ur company newsletter,17
create account category account,10
another account category account,10
how can i create a account type account,10
"i want to list the payment methods, can i get some help?",5
use account category acdcount,24
i would like to file a reclamation against your business,7
i do not know what i need to do to make a reclamation,7
i do not know what i need to do to chat with a live agent,9
can i see the payment options?,5
help me to talk to customer support,8
i need help acquiring a few of your article,19
problem with adding a product to order order number,1
i want to see if there are any news on my rebate,26
"i have to correct some of my personal details, how to do it?",14
help me to change several products of purchase order number,1
need to change my damn shipping address how could i do it,2
help me to make a claim against your compay,7
i do not know how to leave a review about ur services,22
is it possible to see when my product is going to arrive?,13
i am waiting for a restitution of currency symbol refund amount,26
help me file a complaint against your organization,7
how can isubmit my feedback for ur company,22
i am waiting for a reimburswment of currency symbol refund amount,26
awnna call customer support,8
i do not know what i have to do to notify of payment issues,18
i need help to switch several products of order order number,1
"my shipping address changed, can i update it?",2
where do i receive a rewfund of money,16
"i have lost bill 00108, can you show it to me?",4
check status of order order number,25
i want help talking to an operator,9
"i want to see what shipping options i have, how to do it?",12
i have problems with the termination fo a account category account,11
"i am unhappy with your services, help filing a claim",7
give me information about the options for shipping,12
i have to check in what cases can i request a reimbursement,6
i want to know about receiving your corporate neswletter,17
where can i report an issue with payments?,18
how to get bill 12588,15
i don't know what i need to do to download invoice 37777,15
help me check in which cases cani request reimbursements,6
do you have an e mail to send a review about your products?,22
can uhelp me cancelling the subscription to the newsletter,17
want help shopping several items,19
assistance seeing what payment payment modalitiesare allowed,5
see in what situations can i ask for refunds,6
i have to check what delivery options are available,12
wannaclose a pro account,11
awnna see in what cases can i request reimbursements,6
could i see the damn shipment methods?,12
i don'tknow what to do to check your payment options,5
i cannot find anything about the early termination charge,3
i want help to cancel the platinum account,11
i need help seeing if there are any news on the rebate,26
problem with the cancellation of a account category account,11
i call to get the bill from person name,15
wshere do i list ur allowed payment options,5
i try to list the accepted payment options,5
i do not know how to check the cancellation charge,3
can i check the bills from person name ?,4
want help opening a account type account for my daughter,10
i want to know more about receiging your company newsletter,17
where to sign up to your newsletter?,17
i need assistance switching an item of order order number,1
could you help me to locate the bills from person name ?,4
what do i have to do to downlpoad my bill 12588,15
can you help me to file a customer reclamation?,7
add something to order,1
problems with pro account removals,11
i want assistance to shop several articles,19
get invoices from person name,15
i don't know what to do to notify of a payment problem,18
help me make a customer claim against your company,7
need support trying to modifythe address,2
help me to check the eta of the order order number,25
how can i set the secondary shipping address up,23
can ya help me tracking order order number,25
i am trying to set up the new shipping address,23
could you help me get compensations of my money?,16
i am trying to inform of a problem with a signup,21
assistance setting my new shipping address up,23
refunding currency symbol refund amount,16
where to acquire some of ur item,19
i try to change my personal info,14
i need help checking the allowed payment options,5
i do not know how to look for the bill from person name,4
do you edliver to delivery country ?,12
wanna get a rebate of my mney,16
how can i cancel purchase order number,0
where to see the methods for shipment,12
i do not know what i need to do to buy several items,19
i have got to file a consumer claim against your company,7
i want to see what payment options you accept,5
i want assistance talking with an person,9
i need help to unsubscribe to the corporate newsletter,17
help to see what hours i can reach customer service,8
is it possible to order from delivery city,12
i want assistance to see the eta of the order order number,25
i have to check in which cases can i ask to be reimbursed,6
i do not know what to do to see the withdrawal penalties,3
assistance lodging a customer claim,7
i want assistance to submit the shipping address,23
do ya deliver to delivery country,12
"i have to earn a damn product , how could i do it?",19
can you tell me about updating my fucking shipping address?,2
help checking my restitution status,26
what do i have to do to reset the pwd of my user account,20
"i would like to make a customer reclamation, help me",7
i want assistance to cancel purchase order number,0
i would like to unsubscribe to the company newsletter,17
have a question about my pin reset,20
can i inform of a signup problem,21
can i delete several articles from purchase order number ?,1
where to create a standard account,10
is there an address to submit a review for a product,22
see ur payment methods,5
i cant make payments help to report issues with payments,18
switch to gold account,24
i need help to see the early termination charge,3
open another standard account for mum,10
i dont know what to do to cancel my newxletter subscription,17
can you help me to locate order order number ?,25
what do i need to do to report an issue with a signup,21
i have a question about canceling order order number,0
is it possible to see what shipping options i have?,12
is there an e mail to send my feedback about a service?,22
where do i restore the password of my account?,20
help me contact customer assistance,8
edit info on account type accunt,14
where do i set a different shipping address up?,23
i need to check my goddamn restitution status,26
need to speak to customersupport can ya help me,8
i don't know what to do to close my account type account,11
help me to checkl what payment options are allowed,5
i have got to shop some of ur product,19
i do not know how i can open another damn account type account,10
i don't know what to do to see the methods for shipping,12
modify details on account category account,14
need assistance to cancel the account type account,11
can i see the eta of the order order number,25
i need assistance speaking with an operator,9
problem with standard account deletions,11
help notifying of issues with payments,18
i need assistance seeing how long the goddamn refunds take,6
can you help me to change to the goddamn pro account?,24
how could i cancel purchase order number ?,0
uhave a way to send a reivew,22
can you help me see whzt payment options are allowed?,5
how to speak with somebody,9
"i have got to see the payment opitons, how to do it?",5
can you help me to notify of a trouble with payment?,18
want assistance to delete an item from orer order number,1
editing data on premium acocunt,14
can ya tell me what payment payment modalities ya accept,5
how to use the platinum profile?,24
how cab i find information about my key recovery,20
what do i need to do to switch to the standard account?,24
"i have to report an issue with online payments, help me",18
i need assiustance reporting an issue with a registration,21
how do i receive reimbursements of my mopney?,16
correcting information on account category account,14
i do ont know how to send fucking feedback for a service,22
i try to lodge a complaint against your company,7
i want help cancelling purchase order number,0
i want assistance to add a product to order order number,1
i want to check what hours i can contact customer assistance,8
give me information about the deletion of my freemiumaccount,11
i want help to get a rebate of my money,16
can you help me resetting my user profile pin?,20
"i paid currency symbol refund amount for an item, help me receive my money back",16
want assistance asking for refunds of money,16
help to restore my user password,20
neeed assistance setting my secondary shipping address up,23
i want help changing to the account category account,24
i have an issue modifying the bloody address,2
what do i need to do to write an opinion for a service?,22
modify information on account type account,14
i need assistance to report sign up problems,21
help me contacting customer assistance,8
i want help to check ur reimbursement policy,6
help to notify of an error with bloody registrations,21
i try to delete an product from purchase order number,1
i have to inform of troubles with online payment,18
deleting account category account,11
where to switch to the account type account,24
where can i list the payment options?,5
what do i have to do to get rebates of money?,16
remove something from order order number,1
errors entering the secondary delivery address,23
i have got to see when my package is going to arrive,13
could you tell me about updating my delivery address?,2
i want to ask for rebates,16
when wil i get a rebate,16
what do i have to do to talk with an agent?,9
can you show me what damn payment methods are allowed?,5
i don't know what i have to do to remove a account type account,11
i have an issue setting the secondary delivery address up,23
how to use the freemium account?,24
how can i report errors with online payments?,18
how can i send feedback about a product,22
i have a trouble trying to change the shipping address,2
i try to inform of troubles with payment,18
could you help me talking ot bloody customer service?,8
modify account category account,14
assistance to see when will my product arrive,13
i need help using the freemium account,24
"someone stole my password, help retrieving it",20
can uhelp me file a claim,7
can uhelp me buying an artikcle,19
i want to see what delivery methods are there,12
wanna unsubscribe from ur corporate newsletter how to do it,17
help me check if there are any news on the rebate,26
"i need to see the withdrawal fee, how to do it?",3
can you help me see how long refunds take?,6
i need to create a gold account for my fiance,10
seeing bil 00108,4
i need hepl to report an error with online payment,18
where do i earn several articles,19
can i contact an assistant?,9
i need help with cancelling purchase order number,0
i'm waiting for a reimbjrsement of currency symbol refund amount,26
i am waiting for a reimburswment of currency symbol refund amount,26
i don't know how i can send some feedback about a product,22
need assistance to check when my product is gonna arrive,13
i want assistance to receive the newsletter,17
how do i shop some products?,19
how to talk with an agent?,9
can you help me to change to the goddamn account type account?,24
i dont know how i can change to the account type account,24
how do i cancel my corporate newsletter subscription?,17
assistance downloading my bills from person name,15
could you help me chatting with a live agent?,9
canya help me canceling my subscription to the newsletter,17
i want assistance seeing what shipping options you offer,12
see bill from person name,4
what do i have to do to report a problem with registrations,21
"i am looking for the shipping periods, i need assistance",13
want help to enterthe secondary delivery address,23
looking for invoice from person name,4
"i entered a wrong delivery address, can you correct it?",2
how can i check when my bloody product is going to arrive?,13
can you help me setting another delivery addrss up?,23
i have to create a account type account for my fiance,10
i am waiting for a refund of refund amount dollars,26
can you help me canceling purchase order number ?,0
what do i need to deo to obtain a refund of money,16
want help seeing when my order is gonna arrive,13
want assistance to check how soon can i exppect the item,13
is it possible to check how soon can i expect the package?,13
i need help to see the available payment options,5
i do not know how i can notify of sign up issues,21
could i place a damn order from delivery country ?,12
"i have got to use the account type profile, help me",24
i need help checking the eta of order order number,25
i do not know what i have to do to remove ym pro account,11
i don't know what to do to change to the account category account,24
i want assistance removing my account type account,11
i try to check in what casescan i request a reimbursement,6
wanna open a account type account for my fiance,10
i do not know how i can cancel purchase order number,0
closing account type account,11
change purchase order number,1
how do i use the account type account,24
i do not know how to see when will my product arrive,13
i'd likke to locate the bill 85632,4
"i entered a wrong shipping address, how do i correct it?",2
can you help me checking the allowed payment modalities ?,5
what do i have to do to notify of a registration problem,21
how do i see what hours i can contact customer support?,8
can ya help me to create a platinum account for my fiance,10
i dont know how to switch to the standard account,24
"i can't sign up, i have to report a sign up error",21
i have an issue setting up a different delivery address,23
look for my invoices from person name,4
i do not know how i can cancel the standard acconut,11
i need help to restore my user key,20
speaking with customer support,8
i want help setting up another delivery address,23
can you help me to cancel purchase order number ?,0
i can't find the termination fees,3
i have issues trying to change the damn address,2
create new account category account,10
"i can't pay, can you help me notifying of payment errors?",18
assistance to swee the accepted payment options,5
i want information about the termination of my account type account,11
need assistance to earn an item,19
i want to see how long the shipping takes,13
i want assistance asking for a reimbursement of my money,16
ned to speak with somebody,9
where can i check the withdrawal fees?,3
need assistance trying to corrcet my delivery address,2
need help to see ur available payment methods,5
i'm trying to open a platinum account for my fiance,10
is it possible to create a standard account?,10
i want assistance to check the withdcrawal charge,3
where to check what shipping methods are there?,12
correct data on pro account,14
i need assistanc canceling the newsletter subscription,17
deliveries to delivery country,12
wanna check in what cases can i request a refund,6
"i have got to see when will my article arrive, how to do it?",13
could you help me editing the damn information on my user?,14
modiby data on account type account,14
i want assistance canceling purchase order number,0
help me opening a pro account for my fiance,10
can i delete some products from order order number,1
i have an issue setting a difgferent delivery address up,23
assistance checking the invoice from person name,4
i need assistance takling with an assistant,9
i want help listing the available payment options,5
i do not know what i have to do to locate the invoice 00108,4
assistance ordering some of your article,19
i am calling to see when will my product arirve,13
i want assistance switchnig to the account category account,24
need help to give a quick look at the invoice 85632,4
"i need to set up the new delivery address, how to do it?",23
where can i submit the bloody shipping address?,23
i want assistance to submit my feedback for a service,22
want assistance to get rebates of my money,16
want assistance to inform of troubles with payments,18
i want help to remove some products from order order number,1
can you help me to inform of signup errors?,21
i want help earning a product,19
i want assistance submitting feedback for your company,22
i want help resetting the pin code of my user profile,20
i need assistance with adding a product to purchase order number,1
how to see how long it takes for my package to arrive?,13
assistance giving a quick look at the bill 00108,4
modiby data on account category account,14
"i have to se what payment methods you accept, i need help",5
i do not know how i can locate my bills from person name,4
i do not know how i can download the invoice 12588,15
help me to see in which cases can i ask for a refund,6
i need information about a account category account cancellation,11
i want help informing of an issue with a sign up,21
help me checking what hours i can reach customer assistance,8
"i have to see the methods for shipment, i need assistance",12
can uhelp me to make a complaint againsy ur business,7
can uhelp me creating a account type account for my dad,10
can ya help me using the standard profile,24
i have to purchase some damn products how can i do it,19
new account type account,10
edit data on account type account,14
send me bill 85632,15
assistance canceling the newsletter subscription,17
there are issues trying to edit the shipping address,2
nmeed help opening a premium account,10
how do i order somearticles?,19
where to write an review about ur services,22
question about the termination of my standard account,11
where to report sign up problems?,21
how to see what hours i can contact customer service?,8
"i no longer make use of my pro account, i try to delete it",11
can i add some items to purchase order number ?,1
updating pro accojnt,14
i dont know how to inform of payment errors,18
can you help me to see when my item is going to arrive?,13
i cant subscribe to ur newsletter,17
where do i get my bills from person name,15
i need to change order order number,1
how to get invoice 00108?,15
i do not know what to do to chanfe to the damn gold account,24
could you help me cancelling order order number ?,0
editing details on account type account,14
i want assistance to contact an operator,9
canceling account category account,11
i need assistance changing to the account type account,24
i try to check when will my article arrive,13
d uship to delivery city,12
i have to close the account category account,11
"the experience with you was awful, file a customer complaint",7
i do not know what i need to do to talk to an assistant,9
i can't modify theaddress,2
i expect a compensation of currency symbol refund amount,26
want help making a claim against ur organization,7
"i missed a product in order order number , can i add it?",1
i need information about an access key retrieval,20
i habe issues registering how do i do it,21
can you help me notify of a registration issue?,21
i have to look for the bill from ten months ago,4
see order order number fucking current status,25
could i see how long the fucking refunds usually take?,6
could you help me seeing when my parcel is going to arrive?,13
wanna lodge a complaint,7
where can i check what hours i can reach customer assistance,8
need to see my bills from person name,4
i dont know what i have to do to get my invoice 37777,15
order order number status,25
there are problems setting another shipping address up,23
i want to retrieve my fucking user profile access key,20
i call to see how long it takes for my purchase to arrive,13
question about forgotten pwd,20
how could i see order order number status?,25
find information about the cancellation of my account type account,11
can i use the account type profile?,24
question about opening a account type account,10
i am trying to check what hours i can call customer support,8
"i have got to swap something of order order number , help em",1
show me under what circumstances can i ask for my money back,6
i cannot unsubscribe to the goddamn corporate newsletter,17
i want assistance filing a complaint against your company,7
i am looking for information about the delivery period,13
i have a problem with the removal opf my standard account,11
i dont know how i could track the rebate,26
i try to delete the account type account,11
i try to switch to the premium account,24
assistance to see your refund policy,6
can i delete some article from order order number ?,1
i need assistance to cancel order order number,0
i am trying to check how soon can i expect my purchase,13
how do i delete some bloody products from purchase order number ?,1
could i check in which cases can i ask for my money back?,6
i want help to see the status of my refund,26
i cannot create a account type account,10
how to speak to a live agent,9
want help to find my bill from person name,4
show me the bill from person name,4
need assistance to leave a review about a service,22
modify data on account category account,14
i want help reporting sign up errors,21
i'm trying to see the early exit fers,3
where can i get information about the lost pin code?,20
can you help me check the accepted payment options?,5
where to recover the key of my profile?,20
i don't know how i can see how soon can i expect my item,13
i have problems with the deletion of a account type account,11
i want assistance finding the bills from person name,4
i have to earn several proucts help me,19
assistance to solve an issue with online payment,18
where can i order some items?,19
is it possible tocheck invoice 37777,4
can ushow me order order number status,25
i have to list the available payment options,5
can uhelp me to buy some items,19
how to notify of problems with payment?,18
i need to check the cancellation charge,3
where coujld i order several of your product?,19
can isee bill 00108,4
under what circumstances can i ask to be reimbursed?,6
how to shop some items?,19
"i need to track the compensation, how can i do it?",26
help getting a reimbursement of my money,16
i try to ask fopr a refund of my money,16
is there an address to leave a comment for your company?,22
i don't know what to do to sign up to your newsletter,17
i wabt assistance to send my feedback for a service,22
want assistance receiving ur goddamn newsletter,17
i need assistance solving errors with payments,18
how to get my bill from person name,15
assistance seeing the shipping methods,12
assistance checking what hours i can call customer support,8
i want assistance to send some feedback about a service,22
assistance checking the available payment modalities,5
help me to check in what cases can i ask to be refunded,6
i am trying to retrieve the access key of my profile,20
i need assistance to report a problem with a sign up,21
i don't know what i need to do to download my invoice 85632,15
i do not know what to do to inform of a payment issue,18
i have paid currency symbol refund amount for an item help receiving a reimbursement,16
i don't know how to notify of an error with a sign up,21
need assistance checking the early exit fees,3
wanna know about cancel my company newsletter subscription,17
checking termination charge,3
need to see the shipment options help me,12
where can i find information about account type account terminations?,11
i need help to close my premium account,11
do you have a section to leave a comment for your company?,22
need to lodge a reclamation,7
need assistnce acquiring an item,19
"i want to see the withdrawal fee, can i get some help?",3
i do not know how to inform of issues with a registration,21
i do not know how to get in touch with customer service,8
i do no know how to check how soon can i expect my item,13
i do not know what to do to remove a damn platinum account,11
i have put the old address by mistkae help me modifying it,2
see invoices from person name,4
check my invoices from person name,4
herlp to swap an article of order order number,1
i do not know how to write a review about your products,22
"i have got to see your money back policy, help me",6
could i remove my standard account,11
"i would like to call customer assistance, how could i do it?",8
see early exit penalty,3
i want help listing ur accepted apyment options,5
what time can i reach customer support?,8
what do i have to do to purchase some of your article?,19
correct details onstandard account,14
i don't know how to see what delivery methods i have,12
where do i create a gold account?,10
where to inform of registration issues,21
i need help checking what delivery options are there,12
assistance to set my new shipping address up,23
"i do not need my damn account category account, help to close it",11
i do not know how i can see the eta of purcyase order number,25
i want help to inform of a problem with registrations,21
need help submitting bloody feedback for a service,22
could you help me listing your accepted payment methods?,5
i do not kow what to do to check the allowed payment methods,5
remove freemium account,11
how to open a freemium account?,10
i want to report an error with payment,18
new account category acount for wife,10
need to swap several items of purchase order number,1
how to see at what time i can contact customer service?,8
how do i look for bill 12588?,4
help to list the payment emthods,5
i do not know what i have to do to download bill 12588,15
"i am unsatisfied with your services, how can i make a claim?",7
editing data on account category account,14
i lost the fucking bill from person name mail it to me,15
i call to leave a comment about your products,22
how can i recover my user account pin?,20
i can't retrieve my user account key,20
how do i recover the pin code of my user account,20
i do not know how to check when will my product arrive,13
i have to cancel purchase order number,0
i want help to cancel purchase order number,0
i cant edit my delivery address,2
help with payment,18
help to see your accepted payment modalities,5
assistance talking to an assistant,9
i do not know how i can subscribe to your company newsletter,17
i cant make transfers notify of a trouble with payment,18
i don't know what i have to do to talk to someone,9
how to receive ur newseltter,17
want help to submit feedback for ur company,22
changing details on platinum account,14
update personal data,14
what do i need to do to make a customer reclamation?,7
where can i lodge a reclamation against ur business,7
want help to receive ur company newsletter,17
problems setting up my secondary delivery address,23
can you help me purchasing some articles?,19
i exxpect a rebate of currency symbol refund amount,26
how to demand a rebate?,16
i have to find the bills from person name,4
i want help asking for rebates,16
can i check at what time i can call customer support?,8
i don't know how to request a refund of money,16
i want to locate my invoices from person name,4
what do i have to do to recover my account access key?,20
where can i give a quick look at my bill 37777 ?,4
i want information about the deletion of my account type accounnt,11
i do not know how i can close a standard account,11
correct information on account category account,14
i don't want purchase order number,0
"i am not registered, how do i create a account type account?",10
seeing termination charge,3
i am looking for information about the shipping period,13
i try to speak to an operator,9
is it possible to obtaih rebates,16
help me tracking order order number,25
change data on premium account,14
i don't know what i need to do to cancel the premium account,11
is htere an address to submit an opinion for a product,22
i'm calling to lodge a claim against ur company,7
can you help me cancel purchase order number ?,0
lodge reclamation,7
could i set up the shipping address?,23
change to platinum acount,24
create platinum account for wife,10
changing to account category account,24
what do i have to do to creare a account type account for my daughter,10
i expect a rebate of currency symbol refund amount,26
problem with account type account terminations,11
i need help with an address update,2
need assistance canceling order order number,0
i want assistance acquiring a few of ur article,19
i have problems with creating a platinum account,10
i don't know what to do to contact an assistant,9
"i want to talk with customer assistance, could you help me?",8
i do't know how to download my bills from person name,15
shipmetns to delivery city,12
check in what cases can i ask for refunds,6
i want help to speak to somebody,9
i don't know what i have to do to see my compensation status,26
i cannot change order order number,1
can i order from delivery city,12
help to check in whatcases can i request my money back,6
i want help listing your allowed payment methods,5
i do not know how i can ask for rebates,16
i try to see the withdrawal fees,3
"i have got to see the delivery methods, how to do it?",12
can i list your accepted payment options?,5
"you are not being helpful, how can i chat with an assistant?",9
i do not know what i have to do to check my bill 12588,4
i need help cancelling purchase order number,0
what are the payment payment modalities available?,5
could you help me modify the shipping address?,2
i waant help resetting my user profile pwd,20
how to ge compensations of my money?,16
how do i speak with customer support?,8
"someone has stolen my pin code, could you help me reset it?",20
i'm waiting for a rebate of currency symbol refund amount,26
i dont know how to file a consumer reclamation,7
setting up new shipping address,23
problems with account type account deletions,11
how do i report problems with a registration,21
where do i locate my invoices from person name,4
wanna see the fucking withdrawal charges how can i do it,3
i have a trouble entering my secondary delivery address,23
wanna report troubles with onlpine payment,18
i am trying to change to the account category account,24
how to make a claim against your business?,7
find bill 37777,4
i want help unsubscribnig from ur corporate newsletter,17
help seeing the allowed payment modalities,5
assistance using the bloody platinum profile,24
i have to unsubscribe from the corporate newsletter,17
can ya help me change to the account type account,24
how do i check if there are any updates on my rebate?,26
need help to report an issue with payment,18
help me download my invoice 12588,15
help me get in touch with customer support,8
i want to know about my company newsletter subscription,17
"i don't need my fucking account category account, i want to close it",11
i don't know what to do to order several items,19
i want help cancelling purchase order number,0
i don't know what todo to purchase something,19
new freemium account,10
tell me ur alowed payment options,5
i have to shop several articles,19
do you have a way to leave a review for your services?,22
